"id","f_link"
76,"http://www.baidu.com/link?url=ZMSYIzhDy_UZ68aMYWGYzSt6mwvdlJQcT8kklquUnxAfUKj6hv_7mGp5lJfpWXGnd5lbxumGrER0AQshRj5IhR3a_qcfFS9RR8zo3pPMdM7"
77,"http://www.baidu.com/link?url=PR-81clt-j-WjxRPlHIU0g-VkiLmbUHehZhsZghhllFCXsML8SXmKQZ35o06bTgL8BgJjdo_vZsh4BMmGmoukfA_dSMgJp41ipxDOn07bh7"
78,"http://www.baidu.com/link?url=PTmxShzDw6Z4H2gMky6sjBgb8k6nNEYYfN9QT2o3rGV4ea7NCZmtTNMEvMJKDAVThdaELtY5nsvQ4z2ulE8xNK"
79,"http://www.baidu.com/link?url=VGPDpxTQcEOG853kQGGblr-K5rPH-LkYC7ysJuL6x-dMrVnZyzAOTgnf9Jy-Ux90fvMiW4PCU1CQEEnv9wGK8XxXa3Oh8lbeV0J28JLhmBK"
80,"http://www.baidu.com/link?url=aHz1Xls3x6gNM2g1202xePwSx55fK6a3dOb4NpdOdUjnvm7vHkrHOKWBD9eNh8P_AAKhuuDCSK7D3O8XjQUzEctzFDM5SwGby0YzxwTlQaa"
81,"http://www.baidu.com/link?url=p6qfWB6oO-FUBXzocCi3-1oO2MCEC_Jxyefd-8byOSqch2hpHdNlgkYX2G0mvnb7pnMqjH7Tg-slrjE9TXPS3ja06ULnQvY06Lv3vvMEZZO"
82,"http://www.baidu.com/link?url=l_8TA1bJO4WT1zKmhJa8K2QTTarqqyAp7c22Ji8snutcQAm1hjPvt1iD5huSLi1vQDnNJWAm9HQ0eg21sDO-TijY6zxgSB6iMMBsn0fUmge"
83,"http://www.baidu.com/link?url=Y5NeutHHPspsWGkvX5g5kwgnC9TkWWfnYf6mYm-oLUM4SyULjEFf1hIxFWBOP0zd2aQ35sCjIn-5pTPeII5ytPRr0YrzLOfSY3OsVQ2qMvO"
84,"http://www.baidu.com/link?url=EP3H1N8iyVUVmp3rqrHTbvpVV4DFhMUzzXOFg77oA2NPR7nY4V7fRz4pwzMLRHomT_TjC9zg70qljlKcDkWjcq"
85,"http://www.baidu.com/link?url=OiSR97f5_tpsDmOLP4ODk9a3kAOrd5jLULKb04LjPFx-Y21caG1XS-w1D-NKk1kJ1-VceYK1xQT8nh65Xdf8TZtcvLoP57bVBnxRI5MAUOK"
86,"http://www.baidu.com/link?url=JGr0WRkTS2Vkq8RXoNhZwBIwejv5kfWgPz-6KBWnqtVE99DvIPUaDWol2AV8MRgik0qsurb_JP_V9R5eSfDF7lrPbp6FWE6kAu9aFxQIm4-L6gV-pajUauZ5feMzScts"
87,"http://www.baidu.com/link?url=nv3j9IjlL8GLwkUySzYFL1iBKFMTeafOWL2d3RIl5ANoURkJz_LyVdueLPjfMRV4R9Ll24XOhP-OClJRDUc6hjM-bgTL43Z43MZ08kAp2UG"
88,"http://www.baidu.com/link?url=7NA9FkLtuxKJLET0zHHFGt8Hg0csjyVsDk9H_R6HEYfOTdr17LIiweMlKBxgH7VfmNGIhql96vDEmvS8N7W6d_"
89,"http://www.baidu.com/link?url=Dqxl5oN3JBLHeOzEnMxRAx08s8Pi81wT0uHEQsCu20KQ0jNH4iBVMuzbr3SybL-xeoZTyoLVQkO5CXb8aWozc8baTN356YtSHw3DB7UVpXC"
90,"http://www.baidu.com/link?url=dNFmM2gfiGG3Ezbck4bcW2j6L8_pdSYSENcAjbUcMAtLSGR99RKP8MMi4VdHUFBH0MPukHfyVcS6YUkqGzgSiK35gdGsG297vbSYz1ePcHi"
